itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-AD-0001,hvac,Air Distribution – Diffusers,Supply Air Diffuser,"Provide and install supply air diffuser complete with frame, removable core and required fixing accessories. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Type: ___ | Neck Size: ___ | Airflow: ___ | Throw: ___ | Finish: ___",,no.,,,,,,,
HVAC-AD-0002,hvac,Air Distribution – Diffusers,Square Ceiling Diffuser,Provide and install square ceiling supply diffuser with multi-cone face and concealed fixing. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Neck Size: ___ | Airflow: ___ | Pattern: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0003,hvac,Air Distribution – Diffusers,Rectangular Ceiling Diffuser,Provide and install rectangular ceiling diffuser suitable for scheduled air quantity and distribution pattern. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Neck Size: ___ | Airflow: ___ | Pattern: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0004,hvac,Air Distribution – Diffusers,Round Ceiling Diffuser,Provide and install round ceiling diffuser with adjustable or fixed discharge pattern. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Diameter: ___ | Neck Size: ___ | Airflow: ___ | Pattern: ___ | Finish: ___,,no.,,,,,,,
HVAC-AD-0005,hvac,Air Distribution – Diffusers,Linear Slot Diffuser – 1 Slot,Provide and install single-slot linear diffuser complete with directional blades and end caps. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slot Width: ___ | Length: ___ | Airflow/LM: ___ | Plenum: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0006,hvac,Air Distribution – Diffusers,Linear Slot Diffuser – 2 Slot,Provide and install two-slot linear diffuser complete with directional blades and end caps. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slot Width: ___ | Length: ___ | Airflow/LM: ___ | Plenum: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0007,hvac,Air Distribution – Diffusers,Linear Slot Diffuser – 3 Slot,Provide and install three-slot linear diffuser complete with directional blades and end caps. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slot Width: ___ | Length: ___ | Airflow/LM: ___ | Plenum: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0008,hvac,Air Distribution – Diffusers,Linear Slot Diffuser – 4 Slot,Provide and install four-slot linear diffuser complete with directional blades and end caps. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slot Width: ___ | Length: ___ | Airflow/LM: ___ | Plenum: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0009,hvac,Air Distribution – Diffusers,Continuous Linear Slot Diffuser,"Provide and install continuous linear slot diffuser including alignment sections, blank-offs and mitred corners where required. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Slots: ___ | Slot Width: ___ | Airflow/LM: ___ | Corner Type: ___ | Finish: ___",,LM,,,,,,,
HVAC-AD-0010,hvac,Air Distribution – Diffusers,Curved Linear Slot Diffuser,Provide and install factory-curved linear slot diffuser to coordinated radius. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Radius: ___ | Slots: ___ | Slot Width: ___ | Airflow/LM: ___ | Finish: ___,,LM,,,,,,,
HVAC-AD-0011,hvac,Air Distribution – Diffusers,Swirl Diffuser,Provide and install high-induction swirl diffuser suitable for ceiling mounting. | MasterFormat: 23 37 00 | OmniClass: Table 23 – HVAC air-distribution products | Spec: Face Size: ___ | Neck Size: ___ | Airflow: ___ | Swirl Pattern: ___ | Finish: ___,,no.,,,,,,,
