itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
UAEREG-07995,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Fiber Test Witness,"Arrange, prepare for and attend reinspection fiber test witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-07996,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Final Completion Inspection,"Arrange, prepare for and attend reinspection final completion inspection with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-07997,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Fire Alarm Cause-and-Effect Witness,"Arrange, prepare for and attend reinspection fire alarm cause-and-effect witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-07998,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Fire Pump Test Witness,"Arrange, prepare for and attend reinspection fire pump test witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-07999,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Flushing and Disinfection Witness,"Arrange, prepare for and attend reinspection flushing and disinfection witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08000,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Meter Installation Inspection,"Arrange, prepare for and attend reinspection meter installation inspection with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08001,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Pressure Test Witness,"Arrange, prepare for and attend reinspection pressure test witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08002,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Road Reinstatement Inspection,"Arrange, prepare for and attend reinspection road reinstatement inspection with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08003,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Site Readiness Inspection,"Arrange, prepare for and attend reinspection site readiness inspection with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08004,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Smoke Control Test Witness,"Arrange, prepare for and attend reinspection smoke control test witness with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
UAEREG-08005,construction,Authority Inspections and Witness Tests,Abu Dhabi Municipality / DMT - Reinspection - Telecom Duct Inspection,"Arrange, prepare for and attend reinspection telecom duct inspection with Abu Dhabi Municipality / DMT, including booking, prerecords, calibrated instruments, test team, corrective actions and signed results. | Code Ref: 01 45 00 | Spec: Inspection/Test Type: ___ | Location/System: ___ | Booking Reference: ___ | Date: ___ | Witness Officer: ___ | Calibrated Instruments: ___ | Acceptance Criteria: ___ | Result: ___ | Reinspection Required: ___ | Remarks: Official authority reference: https://www.dmt.gov.ae/ Authority attendance and acceptance criteria must be confirmed before testing.",,test,,,,,,,
