itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
CLOSE-00001,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium Barcode Asset Label,"Generate, supply, install and verify architectural anodized aluminium barcode asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00002,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium Engraved Asset Plate,"Generate, supply, install and verify architectural anodized aluminium engraved asset plate, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00003,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium NFC Asset Tag,"Generate, supply, install and verify architectural anodized aluminium nfc asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00004,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium Panel Label,"Generate, supply, install and verify architectural anodized aluminium panel label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00005,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium QR Asset Label,"Generate, supply, install and verify architectural anodized aluminium qr asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00006,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium RFID Asset Tag,"Generate, supply, install and verify architectural anodized aluminium rfid asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00007,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium Room Asset Label,"Generate, supply, install and verify architectural anodized aluminium room asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00008,construction,Asset Identification and QR Tagging,Architectural Anodized Aluminium Valve Tag,"Generate, supply, install and verify architectural anodized aluminium valve tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00009,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic Barcode Asset Label,"Generate, supply, install and verify architectural engraved acrylic barcode asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00010,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic Engraved Asset Plate,"Generate, supply, install and verify architectural engraved acrylic engraved asset plate, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00011,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic NFC Asset Tag,"Generate, supply, install and verify architectural engraved acrylic nfc asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00012,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic Panel Label,"Generate, supply, install and verify architectural engraved acrylic panel label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00013,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic QR Asset Label,"Generate, supply, install and verify architectural engraved acrylic qr asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00014,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic RFID Asset Tag,"Generate, supply, install and verify architectural engraved acrylic rfid asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00015,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic Room Asset Label,"Generate, supply, install and verify architectural engraved acrylic room asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00016,construction,Asset Identification and QR Tagging,Architectural Engraved Acrylic Valve Tag,"Generate, supply, install and verify architectural engraved acrylic valve tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00017,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer Barcode Asset Label,"Generate, supply, install and verify architectural laminated polymer barcode asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00018,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer Engraved Asset Plate,"Generate, supply, install and verify architectural laminated polymer engraved asset plate, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00019,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer NFC Asset Tag,"Generate, supply, install and verify architectural laminated polymer nfc asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00020,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer Panel Label,"Generate, supply, install and verify architectural laminated polymer panel label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00021,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer QR Asset Label,"Generate, supply, install and verify architectural laminated polymer qr asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00022,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer RFID Asset Tag,"Generate, supply, install and verify architectural laminated polymer rfid asset tag, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
CLOSE-00023,construction,Asset Identification and QR Tagging,Architectural Laminated Polymer Room Asset Label,"Generate, supply, install and verify architectural laminated polymer room asset label, including unique ID, durable printing or engraving, database linkage, scan test and as-installed register update. | Code Ref: 01 78 39 / OmniClass 23-11 31 23 | Spec: Asset ID: ___ | Tag Type: ___ | Material: ___ | Size: ___ | Data/URL Encoded: ___ | Fixing Method: ___ | Environmental Rating: ___ | Linked Register: ___ | Remarks: Pattern-based closeout item; verify contract requirements, authority conditions, asset data standard, warranty terms and client handover procedure.",,no.,,,,,,,
