itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
DRWIN-04289,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Sliding Door Assembly - Plant Room,"Supply, install, adjust and commission complete acoustic-rated framed glass double sliding door assembly for plant room application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04290,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Sliding Door Assembly - Service Room,"Supply, install, adjust and commission complete acoustic-rated framed glass double sliding door assembly for service room application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04291,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Sliding Door Assembly - Staircase,"Supply, install, adjust and commission complete acoustic-rated framed glass double sliding door assembly for staircase application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04292,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Sliding Door Assembly - Wet Area,"Supply, install, adjust and commission complete acoustic-rated framed glass double sliding door assembly for wet area application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04293,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - External,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for external application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04294,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - Internal,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for internal application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04295,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - Plant Room,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for plant room application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04296,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - Service Room,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for service room application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04297,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - Staircase,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for staircase application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-04298,construction,Doors - Complete Assemblies,Acoustic-Rated Framed Glass Double Swing Door Assembly - Wet Area,"Supply, install, adjust and commission complete acoustic-rated framed glass double swing door assembly for wet area application, including leaf/leaves, frame, architraves or trims where required, glazing where scheduled, seals, ironmongery, fixings, packers, anchors, making good and all accessories. | Code Ref: 08 42 00 / OmniClass 23-17 11 17 | Spec: Opening Size: ___ | Leaf Size: ___ | Leaf Thickness: ___ | Frame Material/Thickness: ___ | Finish/Colour: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Glazing: ___ | Hardware Set: ___ | Security Grade: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
