itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11396,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11397,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11398,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11399,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11400,plumbing,Valves and Piping Specialties,Domestic Cold Water - Air Release Valve - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission air release valve for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11401,plumbing,Valves and Piping Specialties,Domestic Cold Water - Backflow Preventer - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission backflow preventer for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11402,plumbing,Valves and Piping Specialties,Domestic Cold Water - Backflow Preventer - 15-25 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission backflow preventer for domestic cold water, size band 15-25 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11403,plumbing,Valves and Piping Specialties,Domestic Cold Water - Backflow Preventer - 250-400 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission backflow preventer for domestic cold water, size band 250-400 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11404,plumbing,Valves and Piping Specialties,Domestic Cold Water - Backflow Preventer - 32-50 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission backflow preventer for domestic cold water, size band 32-50 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11405,plumbing,Valves and Piping Specialties,Domestic Cold Water - Backflow Preventer - 65-100 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission backflow preventer for domestic cold water, size band 65-100 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
PLUMB-11406,plumbing,Valves and Piping Specialties,Domestic Cold Water - Balancing Valve - 125-200 mm,"Subcategory: Domestic Cold Water | Supply, install, test and commission balancing valve for domestic cold water, size band 125-200 mm, complete with mating connections, supports, identification tag and all required accessories. | Code Ref: 22 05 23 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Body Material: ___ | Pressure Class: ___ | End Connection: ___ | Operator/Actuator: ___ | Standard: ___",,no.,,,,,,,
