itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
DRWIN-08577,construction,Doors - Leaves,120-Minute Fire-Rated Timber Flush Door Leaf,"Supply and install 120-minute fire-rated timber flush door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08578,construction,Doors - Leaves,120-Minute Fire-Rated Timber Glazed Door Leaf,"Supply and install 120-minute fire-rated timber glazed door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08579,construction,Doors - Leaves,120-Minute Fire-Rated Timber Lead-Lined Door Leaf,"Supply and install 120-minute fire-rated timber lead-lined door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08580,construction,Doors - Leaves,120-Minute Fire-Rated Timber Louvered Door Leaf,"Supply and install 120-minute fire-rated timber louvered door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08581,construction,Doors - Leaves,120-Minute Fire-Rated Timber Panelled Door Leaf,"Supply and install 120-minute fire-rated timber panelled door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08582,construction,Doors - Leaves,120-Minute Fire-Rated Timber Part-Glazed Door Leaf,"Supply and install 120-minute fire-rated timber part-glazed door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08583,construction,Doors - Leaves,120-Minute Fire-Rated Timber Vision-Panel Door Leaf,"Supply and install 120-minute fire-rated timber vision-panel door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08584,construction,Doors - Leaves,120-Minute Fire-Rated Timber X-Ray Door Leaf,"Supply and install 120-minute fire-rated timber x-ray door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 14 00 / OmniClass 23-17 11 11 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08585,construction,Doors - Leaves,30-Minute Fire-Rated Aluminium Flush Door Leaf,"Supply and install 30-minute fire-rated aluminium flush door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 41 13 / OmniClass 23-17 11 15 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
DRWIN-08586,construction,Doors - Leaves,30-Minute Fire-Rated Aluminium Glazed Door Leaf,"Supply and install 30-minute fire-rated aluminium glazed door leaf, factory prepared for scheduled hardware and glazing, complete with edge treatment and finish. | Code Ref: 08 41 13 / OmniClass 23-17 11 15 | Spec: Leaf Size: ___ | Thickness: ___ | Core: ___ | Face Material: ___ | Edge Detail: ___ | Finish: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification and requirements.",,no.,,,,,,,
