itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00001,plumbing,Common Plumbing Work Results,As-Built Drawing,"Subcategory: Documentation and Handover | Provide complete as-built drawing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00002,plumbing,Common Plumbing Work Results,Asset Register,"Subcategory: Documentation and Handover | Provide complete asset register for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00003,plumbing,Common Plumbing Work Results,Authority Inspection and Approval,"Subcategory: Documentation and Handover | Provide complete authority inspection and approval for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00004,plumbing,Common Plumbing Work Results,Builder Work Drawing,"Subcategory: Documentation and Handover | Provide complete builder work drawing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00005,plumbing,Common Plumbing Work Results,Commissioning Report,"Subcategory: Documentation and Handover | Provide complete commissioning report for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00006,plumbing,Common Plumbing Work Results,Coordination Drawing,"Subcategory: Documentation and Handover | Provide complete coordination drawing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00007,plumbing,Common Plumbing Work Results,Equipment Schedule,"Subcategory: Documentation and Handover | Provide complete equipment schedule for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00008,plumbing,Common Plumbing Work Results,Fixture Schedule,"Subcategory: Documentation and Handover | Provide complete fixture schedule for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00009,plumbing,Common Plumbing Work Results,O&M Manual,"Subcategory: Documentation and Handover | Provide complete o&m manual for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00010,plumbing,Common Plumbing Work Results,Shop Drawing,"Subcategory: Documentation and Handover | Provide complete shop drawing for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
PLUMB-00011,plumbing,Common Plumbing Work Results,Spare Parts Schedule,"Subcategory: Documentation and Handover | Provide complete spare parts schedule for plumbing works, including materials, labor, accessories, coordination, records and acceptance requirements as applicable. | Code Ref: 22 01 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: System/Location: ___ | Size/Extent: ___ | Material/Method: ___ | Acceptance Criteria: ___ | Standard/Authority: ___ | Record Reference: ___",,item,,,,,,,
