itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-10992,plumbing,Plumbing Fixtures,Accessible Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10993,plumbing,Plumbing Fixtures,Accessible Bathtub - Commercial Heavy Duty,"Subcategory: Baths | Supply, install, connect, seal, test and commission commercial heavy duty accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10994,plumbing,Plumbing Fixtures,Accessible Bathtub - Low-Flow/Water Efficient,"Subcategory: Baths | Supply, install, connect, seal, test and commission low-flow/water efficient accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10995,plumbing,Plumbing Fixtures,Accessible Bathtub - Sensor Operated,"Subcategory: Baths | Supply, install, connect, seal, test and commission sensor operated accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10996,plumbing,Plumbing Fixtures,Accessible Bathtub - Standard Grade,"Subcategory: Baths | Supply, install, connect, seal, test and commission standard grade accessible bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10997,plumbing,Plumbing Fixtures,Built-In Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm built-in bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10998,plumbing,Plumbing Fixtures,Built-In Bathtub - Commercial Heavy Duty,"Subcategory: Baths | Supply, install, connect, seal, test and commission commercial heavy duty built-in bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-10999,plumbing,Plumbing Fixtures,Built-In Bathtub - Low-Flow/Water Efficient,"Subcategory: Baths | Supply, install, connect, seal, test and commission low-flow/water efficient built-in bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11000,plumbing,Plumbing Fixtures,Built-In Bathtub - Sensor Operated,"Subcategory: Baths | Supply, install, connect, seal, test and commission sensor operated built-in bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11001,plumbing,Plumbing Fixtures,Built-In Bathtub - Standard Grade,"Subcategory: Baths | Supply, install, connect, seal, test and commission standard grade built-in bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11002,plumbing,Plumbing Fixtures,Freestanding Bathtub - Accessible/PRM,"Subcategory: Baths | Supply, install, connect, seal, test and commission accessible/prm freestanding bathtub, complete with fixture, fittings, traps, wastes, supports, sealants and connection accessories. | Code Ref: 22 42 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Fixture Type: ___ | Material/Finish: ___ | Dimensions: ___ | Flow/Flush Rate: ___ | Mounting: ___ | Standard/Approval: ___",,no.,,,,,,,
