itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
STRUCT-00001,construction,Anchors and Embedments,Adhesive anchor – M10 – Cracked concrete,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00002,construction,Anchors and Embedments,Adhesive anchor – M10 – Hollow block,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00003,construction,Anchors and Embedments,Adhesive anchor – M10 – Masonry,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00004,construction,Anchors and Embedments,Adhesive anchor – M10 – Normal concrete,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00005,construction,Anchors and Embedments,Adhesive anchor – M10 – Structural steel interface,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00006,construction,Anchors and Embedments,Adhesive anchor – M10 – Uncracked concrete,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00007,construction,Anchors and Embedments,Adhesive anchor – M12 – Cracked concrete,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00008,construction,Anchors and Embedments,Adhesive anchor – M12 – Hollow block,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00009,construction,Anchors and Embedments,Adhesive anchor – M12 – Masonry,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
STRUCT-00010,construction,Anchors and Embedments,Adhesive anchor – M12 – Normal concrete,"Supply and install structural anchor or cast-in embedment including drilling or setting template, cleaning, resin where applicable, tightening and testing. | Code Ref: 05 05 19 / 03 15 00 | Spec: Anchor Type: ___ | Diameter: ___ | Grade: ___ | Embedment: ___ | Substrate: ___ | Design Load: ___ | Corrosion Protection: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification, structural design, material grade, dimensions, loads and applicable standards.",,no.,,,,,,,
