itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
TEMPWK-00001,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Chain-Link Fencing,"Provide inspection and maintenance of 1.2 m acoustic panel chain-link fencing, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00002,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Concrete Jersey Barrier,"Provide inspection and maintenance of 1.2 m acoustic panel concrete jersey barrier, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00003,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Dust Screen,"Provide inspection and maintenance of 1.2 m acoustic panel dust screen, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00004,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Mesh Fencing,"Provide inspection and maintenance of 1.2 m acoustic panel mesh fencing, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00005,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Noise Barrier,"Provide inspection and maintenance of 1.2 m acoustic panel noise barrier, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00006,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Palisade Fencing,"Provide inspection and maintenance of 1.2 m acoustic panel palisade fencing, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00007,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Pedestrian Barrier,"Provide inspection and maintenance of 1.2 m acoustic panel pedestrian barrier, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00008,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Privacy Screen,"Provide inspection and maintenance of 1.2 m acoustic panel privacy screen, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00009,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Solid Hoarding,"Provide inspection and maintenance of 1.2 m acoustic panel solid hoarding, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,LM,,,,,,,
TEMPWK-00010,construction,"Hoarding, Fencing and Site Security",Inspection and Maintenance - 1.2 m Acoustic Panel Temporary Gate,"Provide inspection and maintenance of 1.2 m acoustic panel temporary gate, including posts, foundations or ballast, bracing, gates, signage, painting and maintenance. | Code Ref: 01 56 00 / OmniClass 23-13 00 00 | Spec: Type: ___ | Height: ___ | Material: ___ | Panel Size: ___ | Support/Foundation: ___ | Finish/Branding: ___ | Wind Rating: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
