itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
UAEREG-00001,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00002,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00003,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00004,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00005,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00006,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00007,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00008,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00009,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00010,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00011,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00012,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00013,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00014,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Final Inspection - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for expedited final inspection requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 01 41 00 / 01 33 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00015,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00016,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00017,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Comment Response,"Prepare, coordinate, submit, track and close out the comment response process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00018,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Completion Certificate,"Prepare, coordinate, submit, track and close out the completion certificate process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00019,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Document Preparation,"Prepare, coordinate, submit, track and close out the document preparation process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00020,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Final Approval,"Prepare, coordinate, submit, track and close out the final approval process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00021,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Initial Submission,"Prepare, coordinate, submit, track and close out the initial submission process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00022,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Inspection Request,"Prepare, coordinate, submit, track and close out the inspection request process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00023,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - NOC Application,"Prepare, coordinate, submit, track and close out the noc application process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00024,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Permit Application,"Prepare, coordinate, submit, track and close out the permit application process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00025,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Pre-Application Consultation,"Prepare, coordinate, submit, track and close out the pre-application consultation process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00026,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Renewal or Extension,"Prepare, coordinate, submit, track and close out the renewal or extension process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00027,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Resubmission,"Prepare, coordinate, submit, track and close out the resubmission process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00028,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Alarm - Technical Review,"Prepare, coordinate, submit, track and close out the technical review process for expedited fire alarm requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00029,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Fighting - Authority Witness Test,"Prepare, coordinate, submit, track and close out the authority witness test process for expedited fire fighting requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
UAEREG-00030,construction,Authority Approvals - Abu Dhabi Civil Defence,Abu Dhabi Civil Defence - Expedited Fire Fighting - Closeout Submission,"Prepare, coordinate, submit, track and close out the closeout submission process for expedited fire fighting requirements with Abu Dhabi Civil Defence, including document control, authority comments, meetings, revisions, resubmissions and approval records. | Code Ref: 21 00 00 / 28 31 00 | Spec: Project/Plot Reference: ___ | Jurisdiction: ___ | Service/Permit Name: ___ | Submission Portal: ___ | Required Documents: ___ | Review Fee: ___ | Connection/Inspection Fee: ___ | Target Submission Date: ___ | Approval Validity: ___ | Witness Requirement: ___ | Standard/Regulation: ___ | Remarks: Official authority reference: https://www.adcd.gov.ae/ Exact service title, fees, forms, timelines and requirements must be verified at time of submission.",,item,,,,,,,
