itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
ARCHFIN-60501,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Matt - External sheltered area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external sheltered area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Matt | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60502,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Matt - External exposed area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external exposed area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Matt | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60503,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Matt - High-traffic area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for high-traffic area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Matt | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60504,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Matt - Back-of-house area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for back-of-house area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Matt | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60505,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - Internal dry area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal dry area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60506,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - Internal wet area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal wet area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60507,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - External sheltered area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external sheltered area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60508,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - External exposed area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external exposed area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60509,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - High-traffic area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for high-traffic area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-60510,interior-fit-out,Ceilings,Fire-rated gypsum ceiling - 6 mm - Gloss - Back-of-house area,"Supply and install fire-rated gypsum ceiling complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for back-of-house area. | Code Ref: 09 50 00 | Spec: Material/Type: ___ | Thickness: 6 mm | Finish: Gloss | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
