itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-03514,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - 90 Degree Elbow - 250-400 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for greywater distribution, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03515,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - 90 Degree Elbow - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for greywater distribution, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03516,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - 90 Degree Elbow - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure 90 degree elbow for greywater distribution, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03517,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Access Fitting - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for greywater distribution, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03518,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Access Fitting - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for greywater distribution, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03519,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Access Fitting - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for greywater distribution, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03520,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Access Fitting - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure access fitting for greywater distribution, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03521,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Cleanout Fitting - 125-200 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for greywater distribution, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03522,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Cleanout Fitting - 15-25 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for greywater distribution, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03523,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Cleanout Fitting - 32-50 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for greywater distribution, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
PLUMB-03524,plumbing,Piping Systems,Greywater Distribution - uPVC Pressure - Cleanout Fitting - 65-100 mm,"Subcategory: Greywater Distribution | Supply, install, joint, support, identify, test and commission uPVC Pressure cleanout fitting for greywater distribution, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Treatment Class: ___ | Pipe Standard: ___ | Identification: ___",,no.,,,,,,,
