itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
ROOF-00001,construction,Green Roofing,Extensive Green Roof Drainage Layer,"Supply and install extensive green roof drainage layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00002,construction,Green Roofing,Extensive Green Roof Filter Fabric,"Supply and install extensive green roof filter fabric as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00003,construction,Green Roofing,Extensive Green Roof Gravel Margin,"Supply and install extensive green roof gravel margin as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,LM,,,,,,,
ROOF-00004,construction,Green Roofing,Extensive Green Roof Growing Medium,"Supply and install extensive green roof growing medium as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00005,construction,Green Roofing,Extensive Green Roof Inspection Chamber,"Supply and install extensive green roof inspection chamber as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,no.,,,,,,,
ROOF-00006,construction,Green Roofing,Extensive Green Roof Irrigation Layer,"Supply and install extensive green roof irrigation layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00007,construction,Green Roofing,Extensive Green Roof Planting,"Supply and install extensive green roof planting as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00008,construction,Green Roofing,Extensive Green Roof Protection Mat,"Supply and install extensive green roof protection mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00009,construction,Green Roofing,Extensive Green Roof Root Barrier,"Supply and install extensive green roof root barrier as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00010,construction,Green Roofing,Extensive Green Roof Sedum Mat,"Supply and install extensive green roof sedum mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00011,construction,Green Roofing,Intensive Green Roof Drainage Layer,"Supply and install intensive green roof drainage layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00012,construction,Green Roofing,Intensive Green Roof Filter Fabric,"Supply and install intensive green roof filter fabric as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00013,construction,Green Roofing,Intensive Green Roof Gravel Margin,"Supply and install intensive green roof gravel margin as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,LM,,,,,,,
ROOF-00014,construction,Green Roofing,Intensive Green Roof Growing Medium,"Supply and install intensive green roof growing medium as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00015,construction,Green Roofing,Intensive Green Roof Inspection Chamber,"Supply and install intensive green roof inspection chamber as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,no.,,,,,,,
ROOF-00016,construction,Green Roofing,Intensive Green Roof Irrigation Layer,"Supply and install intensive green roof irrigation layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00017,construction,Green Roofing,Intensive Green Roof Planting,"Supply and install intensive green roof planting as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00018,construction,Green Roofing,Intensive Green Roof Protection Mat,"Supply and install intensive green roof protection mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00019,construction,Green Roofing,Intensive Green Roof Root Barrier,"Supply and install intensive green roof root barrier as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00020,construction,Green Roofing,Intensive Green Roof Sedum Mat,"Supply and install intensive green roof sedum mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00021,construction,Green Roofing,Semi-Intensive Green Roof Drainage Layer,"Supply and install semi-intensive green roof drainage layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00022,construction,Green Roofing,Semi-Intensive Green Roof Filter Fabric,"Supply and install semi-intensive green roof filter fabric as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00023,construction,Green Roofing,Semi-Intensive Green Roof Gravel Margin,"Supply and install semi-intensive green roof gravel margin as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,LM,,,,,,,
ROOF-00024,construction,Green Roofing,Semi-Intensive Green Roof Growing Medium,"Supply and install semi-intensive green roof growing medium as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00025,construction,Green Roofing,Semi-Intensive Green Roof Inspection Chamber,"Supply and install semi-intensive green roof inspection chamber as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,no.,,,,,,,
ROOF-00026,construction,Green Roofing,Semi-Intensive Green Roof Irrigation Layer,"Supply and install semi-intensive green roof irrigation layer as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00027,construction,Green Roofing,Semi-Intensive Green Roof Planting,"Supply and install semi-intensive green roof planting as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00028,construction,Green Roofing,Semi-Intensive Green Roof Protection Mat,"Supply and install semi-intensive green roof protection mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00029,construction,Green Roofing,Semi-Intensive Green Roof Root Barrier,"Supply and install semi-intensive green roof root barrier as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00030,construction,Green Roofing,Semi-Intensive Green Roof Sedum Mat,"Supply and install semi-intensive green roof sedum mat as part of complete green roof build-up, including interfaces, laps, supports and protection. | Code Ref: 07 33 63 / OmniClass 23-13 31 25 | Spec: System Type: ___ | Thickness/Depth: ___ | Material: ___ | Weight Saturated: ___ | Drainage Capacity: ___ | Planting Mix: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00031,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Gutter,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to gutter, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00032,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Parapet,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to parapet, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00033,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Penetration Detail,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to penetration detail, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00034,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Plant Base,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to plant base, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00035,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Roof Field,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to roof field, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
ROOF-00036,construction,Liquid-Applied Waterproofing,Acrylic Liquid Membrane - 3-Coat System - Upstand,"Prepare substrate and apply acrylic liquid membrane as a 3-coat system system to upstand, including primer, reinforcement fabric where required, detailing, curing, protection and testing. | Code Ref: 07 14 00 / OmniClass 23-13 31 11 | Spec: Product Type: ___ | Primer: ___ | Reinforcement: ___ | Dry Film Thickness: ___ | Coverage: ___ | Colour: ___ | UV Resistance: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local code, manufacturer system and consultant requirements.",,m²,,,,,,,
