itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
GENREQ-00001,construction,Mobilization,Preparation - Standard Mobilization,"Provide preparation for standard mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00002,construction,Mobilization,Preparation - Enhanced Mobilization,"Provide preparation for enhanced mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00003,construction,Mobilization,Preparation - Project-Specific Mobilization,"Provide preparation for project-specific mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00004,construction,Mobilization,Preparation - Authority Required Mobilization,"Provide preparation for authority required mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00005,construction,Mobilization,Preparation - Client Required Mobilization,"Provide preparation for client required mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00006,construction,Mobilization,Submission - Standard Mobilization,"Provide submission for standard mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00007,construction,Mobilization,Submission - Enhanced Mobilization,"Provide submission for enhanced mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00008,construction,Mobilization,Submission - Project-Specific Mobilization,"Provide submission for project-specific mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00009,construction,Mobilization,Submission - Authority Required Mobilization,"Provide submission for authority required mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00010,construction,Mobilization,Submission - Client Required Mobilization,"Provide submission for client required mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00011,construction,Mobilization,Review - Standard Mobilization,"Provide review for standard mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00012,construction,Mobilization,Review - Enhanced Mobilization,"Provide review for enhanced mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
GENREQ-00013,construction,Mobilization,Review - Project-Specific Mobilization,"Provide review for project-specific mobilization, including all labour, documentation, coordination, approvals, meetings, records, reporting and closeout as required by the contract. | Code Ref: 01 00 00 / OmniClass 23-11 | Spec: Scope: ___ | Frequency: ___ | Responsible Party: ___ | Deliverables: ___ | Authority/Client Requirement: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project requirements, contract conditions and authority requirements.",,item,,,,,,,
