itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
TEMPWK-04908,construction,Temporary Power,Removal - Temporary Main Distribution Board - 1000 A,"Provide removal of 1000 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04909,construction,Temporary Power,Removal - Temporary Main Distribution Board - 16 A,"Provide removal of 16 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04910,construction,Temporary Power,Removal - Temporary Main Distribution Board - 160 A,"Provide removal of 160 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04911,construction,Temporary Power,Removal - Temporary Main Distribution Board - 250 A,"Provide removal of 250 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04912,construction,Temporary Power,Removal - Temporary Main Distribution Board - 32 A,"Provide removal of 32 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04913,construction,Temporary Power,Removal - Temporary Main Distribution Board - 400 A,"Provide removal of 400 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04914,construction,Temporary Power,Removal - Temporary Main Distribution Board - 63 A,"Provide removal of 63 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04915,construction,Temporary Power,Removal - Temporary Main Distribution Board - 630 A,"Provide removal of 630 A temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04916,construction,Temporary Power,Removal - Temporary Main Distribution Board - Project-Specific,"Provide removal of Project-Specific temporary main distribution board complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
TEMPWK-04917,construction,Temporary Power,Removal - Temporary Power Meter - 100 A,"Provide removal of 100 A temporary power meter complete with enclosure, protection, metering, earthing, labels, supports, cabling interfaces and testing. | Code Ref: 01 51 00 / OmniClass 23-27 00 00 | Spec: Equipment Type: ___ | Rating: ___ | Voltage/Phase: ___ | Short-Circuit Rating: ___ | IP Rating: ___ | Protection: ___ | Metering: ___ | Duration: ___ | Standard: ___ | Remarks: Pattern-based temporary works item; verify temporary works design, local authority, HSE, project logistics and duration requirements.",,no.,,,,,,,
