itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
LAND-00001,landscaping,Artificial Turf,Decorative Artificial Grass - 15 mm Pile,"Supply and install 15 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00002,landscaping,Artificial Turf,Decorative Artificial Grass - 25 mm Pile,"Supply and install 25 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00003,landscaping,Artificial Turf,Decorative Artificial Grass - 30 mm Pile,"Supply and install 30 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00004,landscaping,Artificial Turf,Decorative Artificial Grass - 35 mm Pile,"Supply and install 35 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00005,landscaping,Artificial Turf,Decorative Artificial Grass - 40 mm Pile,"Supply and install 40 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00006,landscaping,Artificial Turf,Decorative Artificial Grass - 50 mm Pile,"Supply and install 50 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00007,landscaping,Artificial Turf,Decorative Artificial Grass - 60 mm Pile,"Supply and install 60 mm pile decorative artificial grass, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00008,landscaping,Artificial Turf,Landscape Artificial Turf - 15 mm Pile,"Supply and install 15 mm pile landscape artificial turf, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00009,landscaping,Artificial Turf,Landscape Artificial Turf - 25 mm Pile,"Supply and install 25 mm pile landscape artificial turf, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
LAND-00010,landscaping,Artificial Turf,Landscape Artificial Turf - 30 mm Pile,"Supply and install 30 mm pile landscape artificial turf, including prepared base, shock pad where required, seams, adhesive, infill, edging and brushing. | Code Ref: 32 18 13 / OmniClass 23-13 23 19 | Spec: Turf Type: ___ | Pile Height: ___ | Yarn Material: ___ | Density/Stitch Rate: ___ | Infill: ___ | Shock Pad: ___ | UV Rating: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, local authority requirements, horticultural suitability, manufacturer data and consultant requirements.",,m²,,,,,,,
