itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00463,plumbing,Medical and Laboratory Systems,AGSS Plant - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted agss plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00464,plumbing,Medical and Laboratory Systems,AGSS Plant - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted agss plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00465,plumbing,Medical and Laboratory Systems,AGSS Plant - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted agss plant, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00466,plumbing,Medical and Laboratory Systems,AGSS Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted agss terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00467,plumbing,Medical and Laboratory Systems,AGSS Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted agss terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00468,plumbing,Medical and Laboratory Systems,AGSS Terminal Unit - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted agss terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00469,plumbing,Medical and Laboratory Systems,Carbon Dioxide Terminal Unit - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted carbon dioxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00470,plumbing,Medical and Laboratory Systems,Carbon Dioxide Terminal Unit - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted carbon dioxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00471,plumbing,Medical and Laboratory Systems,Carbon Dioxide Terminal Unit - Wall-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission wall-mounted carbon dioxide terminal unit, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00472,plumbing,Medical and Laboratory Systems,Cylinder Manifold - Bedhead/Panel-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission bedhead/panel-mounted cylinder manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
PLUMB-00473,plumbing,Medical and Laboratory Systems,Cylinder Manifold - Ceiling-Mounted,"Subcategory: Medical Gas and Vacuum | Supply, install, label, test and commission ceiling-mounted cylinder manifold, complete with service-specific connectors, isolation, alarm/interface components and accessories. | Code Ref: 22 60 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Gas/Service: ___ | Connection Standard: ___ | Working Pressure/Vacuum: ___ | Mounting: ___ | Alarm/Interface: ___ | Compliance Standard: ___",,no.,,,,,,,
