itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
CIVIL-00001,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Open area,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00002,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Road reserve,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00003,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Footpath,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00004,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Landscape area,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00005,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Restricted access area,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00006,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Basement perimeter,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00007,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Utility corridor,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00008,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Live carriageway,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00009,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Median,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
CIVIL-00010,construction,Earthworks / Excavation,Excavation in Common soil – Up to 0.5 m – Plot boundary,"Excavate to required lines, levels and dimensions, including trimming, temporary support, loading, haulage within site, and disposal or stockpiling as directed. | Code Ref: 31 23 00 / 31 23 16 | Spec: Material: ___ | Depth Band: ___ | Excavation Method: ___ | Disposal Requirement: ___ | Standard: ___ | Remarks: Pattern-based template; verify project classification and authority requirements.",,m³,,,,,,,
