itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-11312,plumbing,Pool and Fountain Plumbing,Air Blower - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial air blower for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11313,plumbing,Pool and Fountain Plumbing,Air Blower - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty air blower for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11314,plumbing,Pool and Fountain Plumbing,Air Blower - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential air blower for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11315,plumbing,Pool and Fountain Plumbing,Balance Tank - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial balance tank for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11316,plumbing,Pool and Fountain Plumbing,Balance Tank - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty balance tank for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11317,plumbing,Pool and Fountain Plumbing,Balance Tank - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential balance tank for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11318,plumbing,Pool and Fountain Plumbing,Cascade Nozzle - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial cascade nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11319,plumbing,Pool and Fountain Plumbing,Cascade Nozzle - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty cascade nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11320,plumbing,Pool and Fountain Plumbing,Cascade Nozzle - Residential,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission residential cascade nozzle for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11321,plumbing,Pool and Fountain Plumbing,Chemical Controller - Commercial,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission commercial chemical controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-11322,plumbing,Pool and Fountain Plumbing,Chemical Controller - Public/Heavy Duty,"Subcategory: Pool and Fountain Equipment | Supply, install, connect, test and commission public/heavy duty chemical controller for pool or fountain system, complete with compatible fittings, supports, controls and accessories. | Code Ref: 22 50 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Capacity/Size: ___ | Material: ___ | Pressure Rating: ___ | Flow: ___ | Finish: ___ | Standard/Approval: ___",,no.,,,,,,,
