itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00318,plumbing,Instrumentation and Controls,Drainage/Sewage - BMS Interface Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission bms interface module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00319,plumbing,Instrumentation and Controls,Drainage/Sewage - Compound Gauge,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission compound gauge for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00320,plumbing,Instrumentation and Controls,Drainage/Sewage - Conductivity Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission conductivity sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00321,plumbing,Instrumentation and Controls,Drainage/Sewage - Control Panel,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission control panel for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00322,plumbing,Instrumentation and Controls,Drainage/Sewage - Data Logger,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission data logger for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00323,plumbing,Instrumentation and Controls,Drainage/Sewage - Differential Pressure Switch,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission differential pressure switch for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00324,plumbing,Instrumentation and Controls,Drainage/Sewage - Dosing Control Panel,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission dosing control panel for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00325,plumbing,Instrumentation and Controls,Drainage/Sewage - Electromagnetic Flow Meter,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission electromagnetic flow meter for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00326,plumbing,Instrumentation and Controls,Drainage/Sewage - Float Switch,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission float switch for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00327,plumbing,Instrumentation and Controls,Drainage/Sewage - Flow Meter,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission flow meter for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00328,plumbing,Instrumentation and Controls,Drainage/Sewage - Leak Detection Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission leak detection sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00329,plumbing,Instrumentation and Controls,Drainage/Sewage - Level Gauge,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission level gauge for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00330,plumbing,Instrumentation and Controls,Drainage/Sewage - Level Switch,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission level switch for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00331,plumbing,Instrumentation and Controls,Drainage/Sewage - Pressure Gauge,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission pressure gauge for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00332,plumbing,Instrumentation and Controls,Drainage/Sewage - Pressure Switch,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission pressure switch for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00333,plumbing,Instrumentation and Controls,Drainage/Sewage - Pulse Output Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission pulse output module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00334,plumbing,Instrumentation and Controls,Drainage/Sewage - Pump Control Panel,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission pump control panel for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00335,plumbing,Instrumentation and Controls,Drainage/Sewage - Remote Metering Module,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission remote metering module for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00336,plumbing,Instrumentation and Controls,Drainage/Sewage - Residual Chlorine Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission residual chlorine sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00337,plumbing,Instrumentation and Controls,Drainage/Sewage - Sight Glass,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission sight glass for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00338,plumbing,Instrumentation and Controls,Drainage/Sewage - Tank Level Control Panel,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission tank level control panel for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00339,plumbing,Instrumentation and Controls,Drainage/Sewage - Temperature Gauge,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission temperature gauge for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00340,plumbing,Instrumentation and Controls,Drainage/Sewage - Temperature Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission temperature sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00341,plumbing,Instrumentation and Controls,Drainage/Sewage - Thermometer,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission thermometer for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00342,plumbing,Instrumentation and Controls,Drainage/Sewage - Turbidity Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission turbidity sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00343,plumbing,Instrumentation and Controls,Drainage/Sewage - Ultrasonic Water Meter,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission ultrasonic water meter for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00344,plumbing,Instrumentation and Controls,Drainage/Sewage - Water Meter,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission water meter for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00345,plumbing,Instrumentation and Controls,Drainage/Sewage - Water Quality Analyzer,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission water quality analyzer for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00346,plumbing,Instrumentation and Controls,Drainage/Sewage - pH Sensor,"Subcategory: Drainage/Sewage | Supply, install, calibrate, connect and commission ph sensor for drainage/sewage service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00347,plumbing,Instrumentation and Controls,Hot Water - BMS Interface Module,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission bms interface module for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00348,plumbing,Instrumentation and Controls,Hot Water - Compound Gauge,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission compound gauge for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00349,plumbing,Instrumentation and Controls,Hot Water - Conductivity Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission conductivity sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00350,plumbing,Instrumentation and Controls,Hot Water - Control Panel,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission control panel for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00351,plumbing,Instrumentation and Controls,Hot Water - Data Logger,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission data logger for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00352,plumbing,Instrumentation and Controls,Hot Water - Differential Pressure Switch,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission differential pressure switch for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00353,plumbing,Instrumentation and Controls,Hot Water - Dosing Control Panel,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission dosing control panel for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00354,plumbing,Instrumentation and Controls,Hot Water - Electromagnetic Flow Meter,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission electromagnetic flow meter for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00355,plumbing,Instrumentation and Controls,Hot Water - Float Switch,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission float switch for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00356,plumbing,Instrumentation and Controls,Hot Water - Flow Meter,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission flow meter for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
PLUMB-00357,plumbing,Instrumentation and Controls,Hot Water - Leak Detection Sensor,"Subcategory: Hot Water | Supply, install, calibrate, connect and commission leak detection sensor for hot water service, complete with isolation, fittings, wiring interfaces and identification. | Code Ref: 22 09 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Range: ___ | Accuracy: ___ | Connection: ___ | Output/Protocol: ___ | Enclosure Rating: ___ | Calibration Standard: ___",,no.,,,,,,,
