itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00186,plumbing,Fixture Fittings and Accessories,Angle Valve - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00187,plumbing,Fixture Fittings and Accessories,Angle Valve - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00188,plumbing,Fixture Fittings and Accessories,Angle Valve - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00189,plumbing,Fixture Fittings and Accessories,Angle Valve - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install angle valve with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00190,plumbing,Fixture Fittings and Accessories,Basin Mixer - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install basin mixer with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00191,plumbing,Fixture Fittings and Accessories,Basin Mixer - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install basin mixer with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00192,plumbing,Fixture Fittings and Accessories,Basin Mixer - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install basin mixer with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00193,plumbing,Fixture Fittings and Accessories,Basin Mixer - Special Finish,"Subcategory: Faucets, Wastes and Trim | Supply and install basin mixer with special finish finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00194,plumbing,Fixture Fittings and Accessories,Basin Pillar Tap - Brushed Stainless Steel,"Subcategory: Faucets, Wastes and Trim | Supply and install basin pillar tap with brushed stainless steel finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00195,plumbing,Fixture Fittings and Accessories,Basin Pillar Tap - Chrome Plated,"Subcategory: Faucets, Wastes and Trim | Supply and install basin pillar tap with chrome plated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
PLUMB-00196,plumbing,Fixture Fittings and Accessories,Basin Pillar Tap - Powder-Coated,"Subcategory: Faucets, Wastes and Trim | Supply and install basin pillar tap with powder-coated finish, complete with connections, fixing hardware, seals and accessories. | Code Ref: 22 40 00 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Size: ___ | Material: ___ | Finish: ___ | Flow Rate: ___ | Connection: ___ | Standard/Approval: ___",,no.,,,,,,,
