itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-00062,plumbing,Drainage Specialties,Air Admittance Valve - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00063,plumbing,Drainage Specialties,Air Admittance Valve - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00064,plumbing,Drainage Specialties,Air Admittance Valve - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00065,plumbing,Drainage Specialties,Air Admittance Valve - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty air admittance valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00066,plumbing,Drainage Specialties,Backwater Valve - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty backwater valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00067,plumbing,Drainage Specialties,Backwater Valve - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty backwater valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00068,plumbing,Drainage Specialties,Backwater Valve - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty backwater valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00069,plumbing,Drainage Specialties,Backwater Valve - Medium Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install medium duty backwater valve, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00070,plumbing,Drainage Specialties,Balcony Drain - Extra Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install extra heavy duty balcony drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00071,plumbing,Drainage Specialties,Balcony Drain - Heavy Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install heavy duty balcony drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
PLUMB-00072,plumbing,Drainage Specialties,Balcony Drain - Light Duty,"Subcategory: Drains, Cleanouts and Interceptors | Supply and install light duty balcony drain, complete with body, grate/cover, trap or seal where applicable, connection adaptors, waterproofing flange and accessories. | Code Ref: 22 13 19 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Nominal Size: ___ | Material: ___ | Load Class: ___ | Flow Capacity: ___ | Outlet Type: ___ | Standard: ___",,no.,,,,,,,
