itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
ARCHFIN-00001,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - Internal dry area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal dry area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00002,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - Internal wet area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal wet area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00003,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - External sheltered area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external sheltered area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00004,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - External exposed area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external exposed area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00005,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - High-traffic area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for high-traffic area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00006,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Natural - Back-of-house area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for back-of-house area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Natural | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00007,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Polished - Internal dry area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal dry area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Polished | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00008,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Polished - Internal wet area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for internal wet area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Polished | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00009,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Polished - External sheltered area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external sheltered area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Polished | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
ARCHFIN-00010,interior-fit-out,Blockwork,Concrete blockwork - 18 mm - Polished - External exposed area,"Supply and install concrete blockwork complete with substrate preparation, approved fixing system, joints, trims, accessories, protection and making good, suitable for external exposed area. | Code Ref: 04 22 00 | Spec: Material/Type: ___ | Thickness: 18 mm | Finish: Polished | Size/Module: ___ | Color: ___ | Fire Rating: ___ | Acoustic Rating: ___ | Slip Rating: ___ | Standard: ___ | Manufacturer: ___ | Remarks: Pattern-based template; verify project requirements and consultant classification.",,m²,,,,,,,
