itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
PLUMB-09514,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09515,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09516,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09517,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09518,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Mechanical Joint - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 mechanical joint for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09519,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Pipe Sleeve - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 pipe sleeve for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09520,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Pipe Sleeve - 15-25 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 pipe sleeve for sewage rising main, nominal size band 15-25 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09521,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Pipe Sleeve - 250-400 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 pipe sleeve for sewage rising main, nominal size band 250-400 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09522,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Pipe Sleeve - 32-50 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 pipe sleeve for sewage rising main, nominal size band 32-50 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09523,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Pipe Sleeve - 65-100 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 pipe sleeve for sewage rising main, nominal size band 65-100 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
PLUMB-09524,plumbing,Piping Systems,Sewage Rising Main - HDPE PE100 - Puddle Flange - 125-200 mm,"Subcategory: Sewage Rising Main | Supply, install, joint, support, identify, test and commission HDPE PE100 puddle flange for sewage rising main, nominal size band 125-200 mm, complete with compatible fittings, jointing materials and accessories. | Code Ref: 22 13 29 / OmniClass Table 23 (indicative) | CSI: https://crmservice.csinet.org/widgets/masterformat/numbersandtitles.aspx | Spec: Pressure Rating: ___ | Pipe Standard: ___ | Joint Type: ___ | Surge Allowance: ___",,no.,,,,,,,
