itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
SITEINF-00001,construction,Drainage Structures and Culverts,Single Cell Arch Culvert - Large,"Construct complete single cell large arch culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00002,construction,Drainage Structures and Culverts,Single Cell Arch Culvert - Medium,"Construct complete single cell medium arch culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00003,construction,Drainage Structures and Culverts,Single Cell Arch Culvert - Project-Specific,"Construct complete single cell project-specific arch culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00004,construction,Drainage Structures and Culverts,Single Cell Arch Culvert - Small,"Construct complete single cell small arch culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00005,construction,Drainage Structures and Culverts,Single Cell Box Culvert - Large,"Construct complete single cell large box culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00006,construction,Drainage Structures and Culverts,Single Cell Box Culvert - Medium,"Construct complete single cell medium box culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00007,construction,Drainage Structures and Culverts,Single Cell Box Culvert - Project-Specific,"Construct complete single cell project-specific box culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00008,construction,Drainage Structures and Culverts,Single Cell Box Culvert - Small,"Construct complete single cell small box culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00009,construction,Drainage Structures and Culverts,Single Cell Pipe Culvert - Large,"Construct complete single cell large pipe culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00010,construction,Drainage Structures and Culverts,Single Cell Pipe Culvert - Medium,"Construct complete single cell medium pipe culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00011,construction,Drainage Structures and Culverts,Single Cell Pipe Culvert - Project-Specific,"Construct complete single cell project-specific pipe culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
SITEINF-00012,construction,Drainage Structures and Culverts,Single Cell Pipe Culvert - Small,"Construct complete single cell small pipe culvert, including excavation, bedding, structural concrete or pipe units, joints, headwalls, wingwalls, aprons, erosion protection and reinstatement. | Code Ref: 33 40 00 / OmniClass 23-27 17 13 | Spec: Type: ___ | Clear Size: ___ | Number of Cells: ___ | Material: ___ | Concrete Grade: ___ | Reinforcement: ___ | Design Flow: ___ | Standard: ___ | Remarks: Pattern-based master item; verify project classification, utility authority requirements, approved materials and consultant specifications.",,LM,,,,,,,
