itemCode,discipline,category,description,specification,quantity,unit,supplier,cost,margin,sellingRate,manufacturer,brand,model
HVAC-0001,hvac,General HVAC Requirements,HVAC mobilization and demobilization,"Provide all labor, supervision, temporary facilities, tools and transport required for HVAC works. | MasterFormat: 23 00 00 | OmniClass: Table 22 / 23 – HVAC work results/products | Spec: Scope: ___ | Duration: ___ | Exclusions: ___",,LS,,,,,,,
HVAC-0002,hvac,General HVAC Requirements,HVAC shop drawings,"Prepare coordinated HVAC shop drawings including plans, sections, details and schedules. | MasterFormat: 23 05 00 | OmniClass: Table 22 – HVAC work results | Spec: Drawing Level: ___ | BIM LOD: ___ | Format: ___",,LS,,,,,,,
HVAC-0003,hvac,General HVAC Requirements,HVAC coordination drawings,Prepare multidisciplinary coordination drawings and builders-work information. | MasterFormat: 23 05 00 | OmniClass: Table 22 – HVAC work results | Spec: Coordination Scope: ___ | BIM LOD: ___ | Clash Standard: ___,,LS,,,,,,,
HVAC-0004,hvac,General HVAC Requirements,HVAC as-built drawings,Prepare final record drawings reflecting installed HVAC systems. | MasterFormat: 23 05 00 | OmniClass: Table 22 – HVAC work results | Spec: Format: ___ | BIM LOD: ___ | Submission Copies: ___,,LS,,,,,,,
HVAC-0005,hvac,General HVAC Requirements,HVAC operation and maintenance manuals,"Compile O&M manuals, product data, warranties, test records and maintenance schedules. | MasterFormat: 23 01 00 | OmniClass: Table 32 – Services | Spec: Format: ___ | Copies: ___ | Language: ___",,LS,,,,,,,
HVAC-0006,hvac,General HVAC Requirements,HVAC training,Provide operator training for installed HVAC equipment and controls. | MasterFormat: 23 08 00 | OmniClass: Table 32 – Services | Spec: Training Hours: ___ | Attendees: ___ | Modules: ___,,hr,,,,,,,
HVAC-0007,hvac,General HVAC Requirements,HVAC equipment identification labels,Supply and install engraved or printed identification labels for HVAC equipment. | MasterFormat: 23 05 53 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Material: ___ | Size: ___ | Text: ___,,no.,,,,,,,
HVAC-0008,hvac,General HVAC Requirements,HVAC pipe identification labels,"Supply and install pipe markers showing service, flow direction and identification. | MasterFormat: 23 05 53 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Size: ___ | Color Code: ___",,LM,,,,,,,
HVAC-0009,hvac,General HVAC Requirements,HVAC duct identification labels,Supply and install duct markers showing service and airflow direction. | MasterFormat: 23 05 53 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Material: ___ | Size: ___ | Color Code: ___,,no.,,,,,,,
HVAC-0010,hvac,General HVAC Requirements,HVAC equipment housekeeping pad,Construct reinforced concrete housekeeping pad for HVAC equipment including formwork and finishing. | MasterFormat: 23 05 00 | OmniClass: Table 22 – HVAC work results | Spec: Dimensions: ___ | Concrete Grade: ___ | Reinforcement: ___,,m³,,,,,,,
HVAC-0011,hvac,General HVAC Requirements,HVAC equipment support frame,Supply and install galvanized or painted steel support frame for HVAC equipment. | MasterFormat: 23 05 29 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material Grade: ___ | Coating: ___ | Design Load: ___,,kg,,,,,,,
HVAC-0012,hvac,General HVAC Requirements,HVAC seismic restraint,Supply and install seismic restraints for HVAC equipment and services. | MasterFormat: 23 05 48 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Seismic Category: ___ | Design Load: ___ | Standard: ___,,no.,,,,,,,
HVAC-0013,hvac,General HVAC Requirements,HVAC vibration isolator - spring type,Supply and install spring vibration isolator complete with mounting accessories. | MasterFormat: 23 05 48 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Load: ___ | Deflection: ___ | Isolation Efficiency: ___,,no.,,,,,,,
HVAC-0014,hvac,General HVAC Requirements,HVAC vibration isolator - neoprene type,Supply and install neoprene vibration isolator complete with mounting accessories. | MasterFormat: 23 05 48 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Load: ___ | Deflection: ___ | Material: ___,,no.,,,,,,,
HVAC-0015,hvac,General HVAC Requirements,Flexible equipment connector,Supply and install flexible connector between HVAC equipment and connected services. | MasterFormat: 23 05 48 | OmniClass: 23-33 00 00 HVAC Specific Products and Equipment | Spec: Size: ___ | Material: ___ | Pressure Rating: ___,,no.,,,,,,,
HVAC-0016,hvac,General HVAC Requirements,HVAC access platform,"Supply and install access platform, grating, stairs and handrails for HVAC equipment. | MasterFormat: 23 05 00 | OmniClass: 23-27 00 00 General Purpose Products | Spec: Material: ___ | Finish: ___ | Design Load: ___",,kg,,,,,,,
